1,18,128446,37,1.1,4,2.4,cluster
2,22,145141,32,2,5,1.1,3
3,31,112690,32,1,6,5.5,3
4,28,80002,22,1,4,5.6,3
5,33,141090,42,1,1,3.0,3
6,61,85757,43,0,9,4.5,2
7,53,151685,40,0,4,1.4,2
8,40,156941,22,0,10,3.0,3
9,20,83010,45,3,6,2.8,3
10,58,140406,37,0,9,5.3,2
11,36,113993,29,1,5,2.8,3
12,45,145915,27,1,8,4.4,3
13,24,109928,33,2,3,4.5,3
14,62,97178,34,1,2,3.1,2
15,29,148730,25,0,10,1.7,3
16,50,154315,41,1,7,5.7,3
17,41,132019,39,2,9,2.3,3
18,27,122810,44,3,5,5.2,3
19,18,80122,21,0,1,2.2,3
20,35,139188,30,1,4,4.8,3
21,39,175672,62,4,14,7.9,0
22,26,142838,48,5,12,6.3,3
23,44,217552,59,6,19,10.7,0
24,31,195038,52,3,20,8.8,0
25,22,121594,41,2,10,5.9,3
26,27,167641,44,4,15,4.1,3
27,33,235064,63,6,17,11.2,0
28,19,149909,40,3,9,9.3,3
29,41,211308,57,5,21,10.1,0
30,24,130055,49,2,8,6.0,3
31,37,184116,61,4,16,8.0,0
32,29,203525,54,6,14,11.6,0
33,46,238544,65,5,22,9.8,0
34,25,158668,43,3,11,5.2,3
35,32,170902,50,4,13,7.1,3
36,40,226337,58,5,18,10.9,0
37,21,126711,46,2,10,4.4,3
38,55,214967,64,6,19,8.4,0
39,30,181244,53,4,15,6.8,3
40,42,239887,60,5,21,12.0,0
41,23,198104,73,6,16,11.3,0
42,35,243019,65,5,18,10.1,0
43,41,181662,68,7,27,13.8,0
44,28,208913,72,8,29,12.0,0
45,37,291888,79,4,21,8.7,0
46,52,170355,62,6,20,15.6,0
47,26,220541,77,5,24,11.8,0
48,45,264882,70,8,30,9.4,0
49,33,244607,64,4,19,14.2,0
50,19,176950,75,7,28,13.1,0
51,48,278146,69,6,25,9.9,0
52,31,233059,71,5,22,10.7,0
53,54,187615,78,8,29,15.2,0
54,24,201355,66,4,17,12.5,0
55,3,298405,73,6,26,8.5,0
56,27,257192,68,5,23,14.7,0
57,43,229844,76,7,27,11.0,0
58,36,194388,61,4,18,13.5,0
59,29,211776,67,5,21,9.0,0
60,50,286413,74,8,30,10.2,0
61,21,276328,90,10,42,20.6,1
62,24,243008,81,7,31,15.8,0
63,30,315642,93,9,39,18.4,1
64,18,198774,77,6,26,14.1,0
65,27,271955,84,8,34,21.3,1
66,35,332481,91,10,44,23.5,1
67,22,225646,80,7,28,13.2,0
68,41,304598,88,8,37,16.9,1
69,19,185703,76,6,25,12.1,0
70,33,289004,92,9,41,19.7,1
71,46,349117,95,10,45,22.8,1
72,28,260433,85,8,33,17.6,1
73,25,238905,79,7,30,12.7,0
74,38,317667,87,9,38,18.9,1
75,31,287540,89,8,40,15.4,1
76,20,206991,78,6,27,14.8,0
77,42,341260,94,10,43,23.1,1
78,23,249876,82,7,32,16.2,1
79,34,278644,86,8,35,20.1,1
80,29,320551,91,9,42,18.0,1
